window,freq,count,growth,GLD,BND,IGV,VDC,SOCL,IHF,IYZ,XOM,BUYING_POWER
14,window,123,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
14,window,124,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
14,window,125,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
14,window,126,0.13248644700886847,0.568881490695329,0.02733175894554216,0.0,0.0,0.0,0.09479204544685525,0.05899470491227361,0.0,0.25
14,window,127,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,128,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,129,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,130,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,131,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,132,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,133,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,134,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,135,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,136,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,137,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,138,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,139,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,140,0.13248644700886847,0.2730319664762628,0.1929802434068483,0.1081703845132166,0.0,0.0,0.1038644017364271,0.0,0.07195300386724537,0.25
14,window,141,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,142,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,143,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,144,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,145,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,146,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,147,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,148,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,149,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,150,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,151,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,152,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,153,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,154,0.13248644700886847,0.4419569063591567,0.0,0.0,0.09174930314307242,0.0,0.03908025151350587,0.0,0.177213538984265,0.25
14,window,155,0.13248644700886847,0.4466144148730359,0.05190622790889183,0.0,0.01697074362546555,0.1412172624127083,0.008457823168433118,0.0,0.08483352801146532,0.25
